"data","Freq"
"i c h _",12549
"s c h _",9551
"_ i c h",7851
"i s c h",7088
"_ s c h",5408
"_ i s c",5174
"_ u n _",4953
"c h t _",4469
"_ s i e",4090
"o c h _",4032
"_ n i t",3904
"s i e _",3792
"n i t _",3585
"d e r _",3442
"e n n _",3421
"_ w i e",3032
"s c h t",2930
"_ ’ s _",2891
"_ s o _",2852
"w i e _",2678
"_ v e r",2573
"w e r _",2554
"_ d o _",2535
"_ w a s",2501
"_ ' s _",2456
"w a s _",2412
"_ d e _",2361
"_ s i n",2324
"_ d i e",2307
"_ i n _",2260
"m m e _",2227
"_ d e n",2224
"_ m i t",2178
"e r e _",2162
"_ h e t",2161
"n o c h",2138
"_ d i s",2128
"t e r _",2112
"_ n o c",2101
"_ d e r",2097
"d ' r _",2084
"a n n _",2059
"c h e _",2038
"_ h e r",2007
"_ w e n",1990
"s i n _",1981
"_ a l l",1976
"_ d ' r",1972
"_ z e _",1939
"l i c h",1911
"m i t _",1877
"w e n n",1859
"i s s _",1854
"_ d ' _",1830
"_ d ü _",1819
"k u m m",1795
"l l e _",1786
"d i e _",1776
"e s c h",1754
"a l l e",1751
"n n e _",1727
"_ d o c",1710
"d o c h",1704
"u m m e",1679
"_ m i r",1658
"_ h a b",1648
"m i r _",1639
"d e n n",1637
"_ u f f",1634
"_ j e t",1595
"j e t z",1590
"c h t e",1582
"m a c h",1577
"_ h a n",1559
"_ m i n",1557
"m ' r _",1552
"r s c h",1548
"_ m ' r",1545
"_ k u m",1516
"_ d ’ _",1515
"_ j a _",1502
"_ a u _",1481
"_ - n -",1450
"- n - _",1450
"_ j o _",1446
"d i s s",1443
"h e r r",1433
"u f f _",1433
"s c h u",1425
"_ e r _",1385
"_ i m _",1377
"_ i h r",1355
"e i n _",1333
"s i c h",1333
"h a b _",1329
"a w e r",1316
"n d e r",1309
"e r r _",1306
"_ a w e",1299
"a s s _",1299
"i c h t",1285
"s s e _",1274
"e h n _",1268
"e t t _",1261
"_ d a s",1255
"i t t _",1252
"m e r _",1252
"s c h e",1249
"_ m e r",1248
"n s c h",1235
"_ w o _",1223
"_ m i c",1217
