"data","Freq"
"_ i c h _",6097
"i s c h _",4963
"_ i s c h",4334
"_ - n - _",2379
"n i t t _",2291
"_ n i t t",2289
"_ s i e _",1935
"_ j e t z",1888
"j e t z _",1756
"_ w a s _",1528
"_ d a s _",1525
"_ a s s _",1348
"_ m i r _",1300
"_ n o c h",1298
"_ h e r r",1247
"_ w e n n",1242
"w e n n _",1212
"n o c h _",1205
"_ h a t _",1204
"_ d o c h",1168
"_ w i e _",1166
"d o c h _",1164
"a w e r _",1157
"_ n i t _",1155
"_ a l l e",1147
"_ a w e r",1134
"h e r r _",1131
"_ m i t _",1071
"_ m a c h",1064
"_ w i l l",1032
"w i l l _",1004
"_ f i r _",971
"_ d e n n",879
"d e n n _",841
"a c h e _",839
"_ m i c h",824
"m i c h _",819
"s c h t _",801
"a c h t _",795
"_ d i e _",777
"_ i h r _",719
"m a c h e",702
"_ n u r _",696
"_ s i c h",650
"e m o l _",639
"_ s c h o",633
"_ s i n _",614
"e d e r _",606
"_ e m o l",593
"s c h o _",574
"_ k u m m",557
"_ g ü e t",542
"u m m e _",532
"_ k e n n",519
"s i c h _",518
"_ v i e l",515
"_ g a n z",513
"a n d e r",507
"_ i h r e",486
"_ g l i c",477
"_ b i n _",475
"i c h t _",469
"s c h t e",462
"_ h a l t",458
"e r s c h",457
"_ e s o _",455
"_ v e r s",451
"i e d e r",448
"_ a l s _",444
"m a c h t",442
"e l l e _",432
"_ g e h _",427
"h e t t _",425
"i s s e _",423
"_ h e t t",421
"i e r e _",417
"w i e d e",415
"_ w i e d",413
"_ h à n _",412
"_ m ü e s",412
"_ d i s s",411
"_ s c h l",408
"g ' s c h",408
"_ e b b e",407
"d i s s _",406
"_ h a b _",405
"c h t e r",404
"g a n z _",403
"l l e s _",400
"n s c h _",392
"a l l e s",391
"c h t e _",382
"l i c h _",382
"h a l t _",379
"_ g ' s c",378
"a l l e _",377
"_ n i m m",375
"_ w e i s",375
"_ d i r _",373
"s i n n _",372
"g r a d _",371
"_ s c h i",370
"n d e r _",369
"_ g r a d",367
"_ g s i _",366
"i e r t _",364
"_ d e r _",360
"_ k e i _",360
"_ w i r d",359
"i h r e _",358
"ü e s s _",356
"g ü e t _",353
"i s c h t",351
"w i r d _",351
"_ s o l l",349
"_ s i n n",346
"_ v o r _",339
"h i r o t",337
"g e h t _",335
"_ s c h u",334
"e s c h _",334
"m ü e s s",331
"l i c h t",330
"g l i c h",326
"_ a n d e",324
"_ w i s s",324
"h t e r _",324
"e c h t _",321
"_ h a n _",320
"w i s s e",318
"_ k ä n n",317
"_ s c h a",315
"a n g e _",314
"_ g e h t",312
"v i e l _",310
"_ s c h w",309
"_ d e m _",306
"k u n n t",303
"u n n t _",302
"_ l a n g",301
"_ w o h r",301
"_ g a r _",300
"e i s c h",300
"_ w e l l",299
"_ k u n n",297
"_ w e n i",297
"s o l l _",297
"e s s e _",295
"s a g e _",295
"w e n i g",295
"f r a ü _",292
"i n e r _",292
"_ s a g e",291
"m a n n _",291
"_ h ä t t",289
"i r o t h",289
"a t e r _",283
"_ f r a ü",281
"_ h a n n",276
"w e i s s",276
"a l l e w",274
"_ h i r o",273
"r s c h t",272
"b i s c h",271
"w e l l e",270
"_ m e i n",269
"_ d i c h",267
"_ m a n n",267
"d i c h _",267
"_ b i s c",264
"_ g ' s à",264
"_ g l a ü",264
"_ u n s _",264
"_ d e r n",260
"_ t h ü e",260
"v a t e r",259
"s s e r _",258
"m m e r _",257
"_ t h à t",255
"c h e r _",255
"k u m m e",254
"e n i g _",253
"r o t h e",253
"n a c h t",252
"d e r n o",251
"e i s s _",251
"e r n o _",251
"_ k a n n",250
"a s c h _",250
"_ s c h ö",249
"d e r t _",249
"e n s c h",249
"k e n n _",249
"l i e w e",249
"_ v u n _",248
"_ h i t _",247
"_ m e h _",247
"_ v a t e",244
"t t e r _",244
"_ l i e w",243
"_ m i n e",241
"h a n n _",241
"l a n g _",241
"_ n i x _",240
"_ d ' r _",238
"_ f u r t",238
"_ n a c h",238
"o t h e _",236
"n s c h t",235
"n u m m e",234
"g l i c k",233
"_ n e i _",232
"i s s t _",230
"e i n e _",229
"k u m m _",229
"r e c h t",228
"s t e r _",227
"_ g ' w i",226
"_ z ü e _",224
"w o h r _",224
"s c h i n",223
"a l t e _",222
"b b e s _",222
"e b b e s",222
"g l a ü b",222
"r i s c h",222
"_ v e r l",221
"_ v e r z",221
"i m m e r",221
"l l i c h",219
