FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint,Tokens
arnold-der-pfingstmontag,Johann Georg Daniel Arnold,Strasbourg,Strasbourg,Bas-Rhin,1816,22675
bastian-dr-hans-im-schnokeloch,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1903,19323
bastian-dr-maischter-hett-gewunne,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937,4563
bastian-e-sportshochzitt,Ferdinand Bastian,Strasbourg,Gundershoffen,Bas-Rhin,1937,3121
bastian-hofnarr-heidideldum,Ferdinand Bastian,Strasbourg,Niederbronn-les-Bains,Bas-Rhin,1937,12892
clemens-a-latzi-visit,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,5556
clemens-charlot,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920,6930
clemens-chrischtowe,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919,5297
clemens-gift,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1919,6183
greber-d-jumpfer-prinzesse,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1899,21915
greber-lucie,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1896,10769
greber-sainte-cecile,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1897,11268
hart-dr-poetisch-oscar,Marie Hart,Bouxwiller,Gundershoffen,Bas-Rhin,1937,4799
horsch-d-madam-fahrt-velo,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1901,7343
jost-daa-im-narrehuss,Camille Jost,,Strasbourg,Bas-Rhin,1928,4704
jost-so-e-liederlicher-frack,Camille Jost,,Strasbourg,Bas-Rhin,1928,6564
kettner-uff-dr-hochzittsreis,Charles Frédéric Kettner,Strasbourg,Rouffach,Haut-Rhin,1924,4464
kuehne-bureaukrate,Fernand Kuehne,,Colmar,Haut-Rhin,1923,4754
riff-s-paradies,Jean Riff,,Strasbourg,Bas-Rhin,1922,3174
riff-sainte-barbe,Jean Riff,,Strasbourg,Bas-Rhin,1919,5661
schneegans-steckelburjer-universite-saaue,Heinrich Schneegans,Strasbourg,Strasbourg,Bas-Rhin,1897,7371
stoskopf-dr-herr-maire,Gustave Stoskopf,Brumath,Gundershoffen,Bas-Rhin,1898,18553
stoskopf-dr-hoflieferant,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1906,20938
stoskopf-ins-ropfers-apothek,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1907,20485
lustig-am-letzte-maskebal,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1896,545
lustig-babette-mach-s-fenster-zue,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1895,3573
lustig-bi-de-wilde,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1886,1652
lustig-d-gsellschaftere,August Lustig,Hartmanswiller,Mulhouse,Haut-Rhin,1887,8574
