mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,,"' a i _; _ 0 0 0; ' h e u; ’ h i e; ’ h e e; - y o _; ' h ö e; ' e n _; ’ a i _; ' h i e; ’ e n _; ' h a u; ’ h a u; ' h a i; ' h ü e; h h ä i; ’ h e i; ' h e e; _ ' e _; - o - o; ’ i c h; h h e _; _ 4 5 _; - a - a; - h a _; - h a -; 5 0 0 _; h h a u; ' h e n; h h e i; _ 1 2 8; _ 2 4 _; . 6 9 7; 1 2 8 .; 2 8 . 6; 6 9 7 _; 8 . 6 9; _ 1 9 _; _ 3 1 .; _ 3 8 _; _ 5 3 _; - ä h _; - a u _; - h e r; ' h u i; ’ h e u; ’ h o e; ’ h u e; ’ h u i; 3 1 . _; h - ä h; _ ç a _; 0 0 0 _; - a a a; - h u _; - h u -; - a y _; - h i -; _ - y o; _ , h a; _ … . _; _ ' e -; _ ‘ a u; _ ’ e _; _ ’ h a; _ $ o _; _ 1 . 8; _ 1 2 5; _ 1 4 .; _ 1 4 3; _ 1 6 .; _ 1 7 .; _ 1 8 7; _ 1 8 9; _ 1 9 2; _ 2 0 -; _ 2 5 8; _ 2 5 e; _ 3 0 0; _ 3 9 7; _ 4 - 5; _ 4 2 _; _ 4 3 _; _ 4 4 _; _ 4 6 _; _ 4 7 _; _ 5 1 _; _ 5 2 _; _ 5 8 _; _ 6 5 _; _ 6 e _; _ 7 1 _; _ 8 - 1; _ 8 5 _; _ 9 0 _; _ 9 9 9; _ đ e _; _ h h _; - 1 - a; - 1 3 _; - 3 0 _; - a - h; - a a h; - ä i e; - e - e; - e - i; - e i _; - e i -; - h ä _; - h i _; - h o -; - h o o; - h u i; - i - e; - u e h; . 0 0 0; . 8 0 _; ' ç a _; ' e e h; ' e r _; ' h o e; ' h ô e; ' h u e; ‘ a u _; ‘ h ü e; ’ h a a; ’ h y _; ’ h y e; 0 - 3 0; 0 . 0 0; 1 - a _; 1 . 8 0; 1 2 5 _; 1 4 . _; 1 4 3 e; 1 6 . _; 1 7 . _; 1 8 7 2; 1 8 9 7; 1 9 1 8; 1 9 2 0; 2 0 - 3; 2 5 8 _; 2 5 e _; 3 0 . 0; 3 0 0 0; 3 9 7 _; 3 e r _; 4 - 5 _; 4 3 e r; 6 0 0 0; 8 - 1 -; 8 7 2 _; 8 9 7 _; 9 1 8 _; 9 2 0 _; 9 9 9 _; h - e _; h ' e _; h ' e r; h ’ h _; h h a h; h h a i; h h ö e; h h o o; h h u _; h h ü e; 2 0 0 0; _ 1 1 _; _ 3 / 4; 3 / 4 _; _ 5 0 _",' h a _; . . . _; _ . . .; ' h e i; _ ç à _; - i c h; h h e r; _ 3 0 _; _ 4 . _; ’ h ö e; _ 1 0 0; _ 8 . _; 2 0 0 _; _ 2 0 0; - e r _; _ 3 . _; _ 1 3 .; 1 3 . _; _ 1 . _; _ 5 0 .; _ ç o i; ’ h a _; 5 0 . _; _ 2 . _; 1 0 0 0; _ 2 5 _; _ 1 8 6; _ 3 4 0; 1 8 6 8; 3 4 0 _; 8 6 8 _; _ 7 0 _; _ 8 0 _; _ 1 9 1; 5 0 0 0; _ 4 0 _; _ 6 0 _; . . . i; h h e e; _ 1 3 _; _ 2 4 .; _ 2 4 0; _ 3 7 _; _ 3 9 _; _ 6 0 .; _ 7 5 _; - e n _; - i - i; . . i .; . i . .; 1 9 1 4; 2 4 . _; 2 4 0 _; 6 0 . _; 9 1 4 _; h h u u; . . . .; ’ h e r; - ç a _; _ 2 0 _; 1 0 0 _; _ 1 2 0; 1 2 0 _; _ . . _; _ 4 5 0; 4 5 0 _; _ : | _; _ 2 8 .; _ 8 0 0; _ 9 9 e; - o h _; 2 8 . _; 8 0 0 _; 9 9 e r; 9 e r _; h - o h; _ - o h; _ : 1 _; _ ' 5 _; _ ' i _; _ ‚ o _; _ 1 0 .; _ 1 2 7; _ 1 5 -; _ 1 5 .; _ 1 6 _; _ 1 à _; _ 2 3 0; _ 2 7 _; _ 2 7 3; _ 3 1 _; _ 3 4 '; _ 3 5 _; _ 3 6 _; _ 3 6 4; _ 3 e _; _ 4 2 5; _ 5 . _; _ 5 9 _; _ 6 2 9; _ 7 . _; _ 7 1 5; _ 7 3 _; _ 7 7 _; _ 8 8 _; _ 8 9 _; _ 8 9 .; _ 9 0 0; _ 9 5 _; _ 9 9 _; - 2 0 _; - a - i; - h à i; - o h -; - u - i; . . i _; ’ h e n; 0 0 . _; 1 0 . _; 1 0 0 .; 1 2 7 9; 1 5 - 2; 1 5 . _; 1 9 1 3; 2 3 0 _; 2 7 3 _; 2 7 9 _; 3 0 . _; 3 4 ' _; 3 6 4 _; 4 2 5 _; 5 - 2 0; 6 0 0 _; 6 2 9 _; 7 1 5 _; 8 9 . _; 9 0 0 _; 9 1 3 _; ç i e r; h ' a _; h h u e; _ 1 4 _; _ 4 9 _; _ h . _; _ 1 0 _; ' h e r; _ 1 2 _; 0 0 0 0; _ 1 7 _; ’ h ü e; _ ' h a; _ 1 5 0; _ 3 0 .; _ 4 8 _; _ 6 . _; _ 6 0 0; _ 6 4 _; _ 6 6 _; _ 8 2 _; _ 9 . _; - h ä -; - h e i; - u - a; 1 5 0 _; h - e -; _ 5 0 0; _ 1 5 _; h - e r
Craig,HFL,h o f l,h ö f l; h i f l; h e f l; h ä f l; h ü f l
Craig,KKP,c c e p; c c u p; k g e p,g k a p; k g e b
Craig,MLTS,m e l z; m a l z; m i l z,m ä l z
Craig,HNTS,h i n z; h u n z; h a n z,h o n z
Craig,KNTS,k a n z; g n e z; c a n z; k o n z,g a n z; c e n z; g ä n z; k u n z
Craig,ALTK,o l t k; e l t g; a l d g; e l d g; a l d k; e l d k,a l t k; e l t k; o l d k
Craig,KTK,k t a k; c h t g; k t i k; c t - g; k d i c,c h t k; g t - c; k e t c; k ü t c
Craig,RLK,r l i c; r l o g; r l y c; r l e c; r l a c; r l o c,r l i g; r l e g; r l a g; r o l c; r l ä c
Craig,FLS,f e l s; f i l s; f l ä s; f l a s; f l u ß; f l y s; v a l s; f l o s; f l ü s; f i l z; f l e s; f l y ß; f l i s; f ä l s,f l à s; f l u s; f a l z; f a l s
