mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,,"_ — _; _ : _; _ - _; _ ; _; ’ h e; _ – _; - e _; _ ” _; _ = _; _ ― _; ' a i; ’ h ö; _ . _; h ’ _; ’ h a; ’ h o; ' e n; ’ h y; _ "" _; _ ) _; - y o; ' e _; ’ e _; ' e r; ' a u; ’ a i; ’ h i; _ * _; - e -; ’ e n; _ ‚ _; _ & _; ' h y; ç a i; ' h ü; _ } _; _ ç a; - à -; _ ' e; 9 7 _; _ 0 0; _ ? _; - h o; - h u; - h i; - o -; - a i; - a u; 4 5 _; h ‚ _; - a _; h h ä; ' h o; 1 2 8; - i h; . 6 9; 2 4 _; 6 9 7; 8 . 6; _ ] _; _ 3 8; _ 5 3; - ä h; - u e; ‘ h e; ‘ h o; ‘ h ö; 1 9 _; 3 1 .; 3 8 _; 5 3 _; 5 8 _; h - ä; h ' e; ç a _; - a a; _ 4 5; - h e; ’ e r; ’ h ü; h h _; h h ü; 5 0 _; 1 0 _; - a y; ’ œ u; _ - y; _ , h; _ … .; _ ' '; _ ‘ -; _ ‘ a; _ ’ e; _ ’ h; _ { _; _ $ o; _ 2 2; _ 4 -; _ 4 3; _ 4 4; _ 4 6; _ 4 7; _ 5 1; _ 5 2; _ 5 8; _ 6 5; _ 6 e; _ 8 -; _ 8 5; _ h _; - 1 -; - 1 3; - 3 0; - 5 _; - à _; - ä i; - e j; - h _; - h æ; - o u; , h a; . 8 0; … . _; ' ' _; ' e -; ' e e; ' h ô; ' i u; ' y _; ‘ a u; ‘ h a; ‘ h ü; ’ a _; ’ a h; ’ e h; ’ h _; ’ h ô; ’ o u; ’ ü e; ’ u u; ’ y _; $ o _; 0 - 3; 1 - a; 1 . 8; 1 2 5; 1 4 .; 1 4 3; 1 6 .; 1 7 .; 1 8 _; 1 8 7; 1 8 9; 1 9 2; 2 0 -; 2 5 8; 2 5 e; 3 0 0; 3 9 7; 3 e r; 4 - 5; 4 0 0; 4 2 _; 4 3 _; 4 3 e; 4 4 _; 4 6 _; 4 7 _; 5 1 _; 5 2 _; 5 e _; 6 5 _; 6 e _; 7 1 _; 7 2 _; 8 - 1; 8 5 _; 8 7 2; 8 9 7; 9 0 _; 9 1 8; 9 2 0; 9 9 9; ç a a; h ‘ _; h ’ h; h h i; h h ö; - h a; ’ h u; - a -; h h o; _ 1 4; 2 8 .; _ 1 7; _ 4 9; - e i; 4 9 _; _ _ _; _ ° _; _ 1 1; _ 3 /; _ 3 1; ' h ä; / 4 _; 1 1 _; 3 / 4; _ „ _","_ … _; ' h a; . . _; . . .; _ . .; _ » _; _ « _; ' h i; _ ç à; ç à _; ' h ö; _ “ _; h h e; 0 0 _; ç o i; _ 5 _; 0 . _; _ 3 0; 3 0 _; 4 . _; _ 4 _; 3 . _; _ 2 0; 1 0 0; _ 4 .; _ 1 0; _ 3 _; _ 2 _; 4 0 _; h ' _; _ 1 3; 8 . _; _ 3 .; 2 0 0; _ ’ _; _ ! _; _ 6 _; _ 8 _; _ ' i; _ 8 .; ç i _; ' h e; _ 2 .; _ 6 0; 2 . _; 1 3 .; _ 3 4; 5 0 .; 2 0 _; - i _; _ 1 _; _ 1 .; _ | _; _ 8 0; _ ç o; ' h à; 3 4 0; 1 . _; 1 4 _; _ ' _; _ 2 4; _ 7 0; 7 0 _; _ 1 5; 2 5 _; _ / _; _ 9 _; 1 3 _; 1 9 1; h h u; 0 0 0; 6 0 _; . . i; 1 8 6; 6 8 _; 8 6 8; _ § _; _ \ _; _ 2 7; _ 3 6; _ 3 7; _ 7 5; - ä _; . i .; 2 4 .; 2 4 0; 3 7 _; 3 9 _; 5 . _; 6 0 .; 7 3 _; 7 5 _; 9 1 4; _ 2 5; 8 0 _; _ 0 _; - ç a; - e n; _ 5 0; - e r; _ 1 8; _ 9 9; 1 2 0; _ ` _; _ 3 9; _ h h; - u -; 6 4 _; 9 . _; h - e; - o _; _ 4 0; 1 5 _; ' h u; _ 1 2; - o h; 4 5 0; _ : |; _ | :; _ 2 8; _ 8 9; : | _; 3 0 .; 8 0 0; 9 9 e; 9 e r; h - o; _ - -; _ - o; _ , i; _ : 1; _ · _; _ ' 5; _ ' a; _ ' u; _ ‘ i; _ ‚ o; _ + _; _ 1 à; _ 2 3; _ 3 5; _ 3 e; _ 5 .; _ 5 9; _ 6 2; _ 6 3; _ 7 .; _ 7 3; _ 7 7; _ 8 8; _ 9 5; - 2 0; - h à; , h ä; : 1 _; . . e; . 2 .; . e .; . i _; ' 5 _; ' i e; ’ ä _; ‚ o _; 0 0 .; 1 0 .; 1 2 7; 1 5 -; 1 5 .; 1 6 _; 1 à _; 2 3 0; 2 7 _; 2 7 3; 2 7 9; 2 9 _; 3 1 _; 3 4 '; 3 5 _; 3 6 _; 3 6 4; 3 e _; 4 ' _; 4 2 5; 5 - 2; 5 9 _; 6 2 9; 6 3 _; 7 1 5; 7 7 _; 7 9 _; 8 8 _; 8 9 _; 8 9 .; 9 0 0; 9 1 3; 9 5 _; ç e u; ç i e; h ' a; h h à; 5 0 0; _ [ _; _ h .; ' a _; ’ h ä; h . _; _ 1 9; 1 2 _; - h ü; - h ä; 1 7 _; 6 . _; _ ' h; _ 1 6; _ 4 2; _ 4 8; _ 6 .; _ 6 4; _ 6 6; _ 7 1; _ 8 2; _ 9 .; _ 9 0; 1 5 0; 4 8 _; 6 0 0; 6 6 _; 7 . _; 8 2 _; 9 9 _; h h a; _ ( _; _ 7 _; - i -; ' i _"
Craig,RVL,r w l,r v l
Craig,SFR,z f r; ß f r,s v r; s f r
Craig,TS,d i s; _ z e; d a ß; z u e; _ z u; z e _; d i ß; t t s; _ z y; z e r; t s _; d e s; z u _; d e ß; z e n; t e s; t z e; d s _; _ z a; t i s; z a i; z a j; z e j; h t s; z e e; h z i; t s e; d d s; z ü _; z ö u; t o ß; z i a; z i _; h z e; h z y; z a u; d a z; t z u; t e z; t t z; t s s; d s s; z ö ü; d é s; z i g; z a y; z e y; d i z; z i u; z e -; t s ä; t ’ s; d o s; t s ü; z o h; d t s; t z ü; t ‘ s; z a o; t ü s; z e h; h z u; t z h; t h s; d ä s; d s æ; t ö s; d s ä; d ü s; d ’ s; z u h; z ö j; h t z; t s a; h z ä; z ü ü; _ z é; . z e; ' t s; ' z u; ’ t z; d - s; d ä z; d s -; d u z; d y s; h z ü; t e ß; t h z; t u ß; t ü ß; z ä ä; z ä e; z e o; z i ’; z o o; z ô ü; z ü -; z e u; _ z _; z i ö; - z e; d ' s; d ü z,z ü e; _ z ü; d a s; t z _; _ z i; z e i; z ü a; z a h; z i e; z ä h; _ z ä; z ä i; z a _; d u s; t z i; t s i; _ z o; t i z; t z -; t o s; z ö e; d e z; ' z i; _ z à; d o z; _ d s; t z '; z i o; t u s; t - s; z ä j; t ä s; t z a; t à s; d s e; h z o; t é s; z o _; t a s; _ z ö; _ ’ z; - z à; - z a; ' z a; ’ t s; ’ z _; ’ z i; d à s; d s i; t - z; t z ä; t z o; z à -; z à h; z ö _; z u a; t s u; t ' s; _ t s; h - z; t s o; z a g; z ö i; d s a; t s -
Craig,AKSM,o x m,i x m
Craig,AF,u f f; a u f; a w i; e w y; u e w; a u w; i n f; a a w; _ ü w; e f f; o o f; i e w; e v o; a n f; u e f; u w e; _ o f; e w e; ä w e; a v o; e w ö; ü e w; i v e; i f f; e w ä; e w o; a i f; e f u; u f e; ü n f; u v e; o u v; ä u f; y w e; a v e; ü w e; o f f; e e w; ü ü f; e n f; e v u; y f f; _ a v; e w a; e f ä; y e w; e w u; ö f f; _ e v; o o w; o w i; a f f; ä f e; ö w e; o n f; u w a; e f i; ü f f; a p h; e f e; o w o; e u f; e p h; o w u; e w ü; a w _; a i w; a v a; u f i; ü w i; i v a; o f i; i f o; a a f; a v _; u p h; y f e; u w i; e e f; a f é; e v i; _ ö f; e j f; ö ü f; ö ü w; y v o; ä w _; u v a; y e f; e v a; i f _; e v ö; _ y v; æ w e; u u f; i v _; ä i f; ä v e; a f ü; e v é; i p h; a ö w; é v e; i v o; ö i f; u f ü; u w _; y n f; ä w i; é f e; o w y; _ y f; ä f _; a v u; a w ä; a w ü; e j v; i w ä; ö e f; ö u w; o v _; o v a; o w _; y p h; y w _; e i v; e w _; e w æ; i f -; i v .; i v h; œ u v; y f _; _ a ﬀ; _ é v; _ u w; a - f; a a v; ä e w; a f '; a ﬀ ä; a i v; a v h; a w u; æ f f; e e v; e f ’; e f y; e o f; e v _; é v è; e w é; e w œ; e y f; e y v; i ä f; i f '; i f u; i j v; i v -; i w _; i w o; o f ’; ö f e; ö f i; o h f; o v o; ü i f; u i v; ü v a; u v é; ü v e; u v o; u w ä; u w o; u w ö; _ ü f; a f o; à - v; ä n f; i f ä; _ i v; _ ö w; e f ö; u e v; u f '; o f a; e i w,u f _; i w e; _ i w; a ü f; a ü w; _ a w; a f a; e f a; ü f e; i f e; i f a; _ e f; e i f; o f _; _ a f; _ e w; i e f; _ u f; e f _; ü e f; i a w; u v i; ü f _; _ o w; i w a; a u v; ü w a; i a f; u i f; u f -; a v i; à i w; ä u w; o w a; i w i; o i w; à f e; _ i f; o u f; e w i; u n f; i f à; a w o; o i f; e w à; u v _; e f à; u i w; a f e; i v i; o e f; e f o; i e v; ü a f; ü f a; ä f i; e - f; e v e; u f a; è v e; i - f; u f o; à i f; o f e; ä f f; é v o; ö v e; à n f; é f i; à w i; _ é w; _ è w; a f -; à u f; a v '; e ä f; é f _; é f ä; e f è; e h f; e u v; e v ä; é v é; é w e; è w e; i ä w; i è v; i w à; ö f _; o f -; o w ä; ü f ä; ö e w; o v i; a f _; o w e; i f i; ä i w; e f ü; _ o v; a f i; ä ü f; e - v; é p h; i j f; o v e; ö w i; ü f u; ü h f; ü v i; o f o; o p h
Craig,RTL,r t l,r d l
Craig,TSP,z e b; z e p; z i p; z o p; z u b; z ö p; z u p; t z b,z a p; z à p; z o b; z ä p
Craig,NM,n u m; n e m; n ä m; n m o; n m a; n o m; h n m; n m u; n m ä; n m e; n y m; n æ m; n m ü; n m i; n m ö,n i m; n à m; n a m; n - m; _ n m; n m _; n ü m
Craig,RTM,r d m,r t m
