"data","Freq"
"_ i c h _",7826
"i s c h _",6069
"_ i s c h",5174
"_ s i e _",3765
"_ n i t _",3569
"_ w i e _",2675
"_ w a s _",2371
"_ n o c h",2098
"n o c h _",2019
"_ d ' r _",1972
"_ w e n n",1858
"_ m i t _",1812
"_ d i e _",1735
"w e n n _",1726
"_ d o c h",1701
"d o c h _",1649
"_ m i r _",1639
"_ d e n n",1637
"_ j e t z",1589
"_ a l l e",1535
"_ m ' r _",1533
"u m m e _",1524
"s c h t _",1515
"_ k u m m",1470
"_ s i n _",1463
"_ - n - _",1450
"_ d i s s",1439
"_ d e r _",1430
"d i s s _",1422
"_ h e r r",1401
"_ h a b _",1328
"a w e r _",1302
"_ a w e r",1298
"_ u f f _",1269
"_ s c h u",1263
"d e n n _",1213
"_ m a c h",1210
"_ m i c h",1206
"l i c h _",1195
"m i c h _",1168
"_ s i c h",1142
"h e r r _",1131
"_ h e t _",1103
"_ v u n _",1083
"h e t t _",1081
"s c h u n",1072
"_ w i l l",1064
"_ b i n _",1063
"s c h t e",1059
"_ k a n n",1058
"_ h e t t",1013
"w i l l _",1010
"e s c h _",976
"a c h t _",951
"e t z t _",949
"s i c h _",942
"c h u n _",937
"e r s c h",926
"_ d a s s",913
"_ h a n _",910
"_ d a ß _",898
"_ f o r _",892
"j e t z t",891
"i c h t _",889
"a c h e _",876
"_ n i x _",873
"k a n n _",873
"d a s s _",852
"_ i h r _",847
"_ d ’ r _",837
"_ a l s _",833
"k u m m e",830
"_ g a n z",824
"h e s c h",806
"_ g u e t",791
"_ h e s c",791
"_ m e r _",787
"e m o l _",757
"_ s o l l",750
"l l e s _",745
"_ d i c h",742
"e l l e _",742
"_ m ’ r _",736
"_ w u r d",736
"d i c h _",734
"a l l e s",731
"c h t e r",723
"e n n e _",717
"_ e m o l",714
"m a c h e",712
"w u r d _",711
"n u m m e",702
"_ v e r s",695
"g a n z _",695
"j e t z _",689
"d d e r _",684
"_ s c h l",668
"n s c h _",650
"m a n n _",625
"_ k e n n",617
"_ n u m m",616
"_ d i s _",609
"_ u n d _",609
"h t e r _",607
"c h t e _",598
"_ d e m _",593
"m a c h t",588
"a n d e r",587
"_ s c h w",583
"_ s c h a",580
"s o l l _",572
"e c h t _",571
