"data","Freq"
"i c h _",8432
"s c h _",6668
"_ i c h",6108
"i s c h",5534
"_ i s c",4334
"_ u n _",3878
"_ ' s _",3679
"_ n i t",3459
"_ s c h",3355
"i t t _",2682
"c h t _",2645
"o c h _",2487
"_ - n -",2379
"- n - _",2379
"e n n _",2314
"n i t t",2295
"_ d r _",2205
"_ s i e",2147
"_ s e _",2013
"_ d o _",1983
"s i e _",1940
"_ j e t",1890
"j e t z",1889
"w e r _",1838
"_ s o _",1833
"d e r _",1828
"t e r _",1790
"e t z _",1786
"_ v e r",1745
"_ d a s",1712
"_ w i e",1651
"a s s _",1632
"_ w a s",1586
"_ w e n",1548
"w a s _",1529
"d a s _",1528
"_ i n _",1524
"_ h a _",1516
"s c h t",1514
"c h e _",1504
"_ h e r",1460
"_ d ' _",1458
"_ a s s",1442
"_ e r _",1379
"_ a l l",1369
"_ z ' _",1369
"_ d e r",1353
"_ m i t",1342
"m a c h",1342
"m i r _",1315
"a l l e",1307
"n o c h",1306
"_ m i r",1305
"_ n o c",1299
"_ m r _",1297
"_ h a t",1282
"_ i h r",1260
"h e r r",1256
"w e n n",1246
"e r e _",1232
"_ s i n",1224
"h a t _",1208
"_ w i l",1191
"_ a w e",1175
"a w e r",1171
"_ d o c",1170
"d o c h",1169
"w i e _",1168
"n i t _",1157
"_ d e n",1148
"e r r _",1134
"_ m i _",1108
"i l l _",1103
"w i l l",1099
"_ d ü _",1092
"m i t _",1089
"_ m a c",1067
"a n n _",1053
"_ w o _",1034
"_ f i r",1033
"s s e _",1026
"l l e _",1019
"f i r _",1004
"a c h t",992
"_ ’ s _",988
"i s s _",948
"m o l _",941
"_ g e h",936
"m m e _",933
"_ g ' s",928
"a c h e",912
"_ d i e",900
"_ j o _",895
"_ i m _",890
"c h t e",882
"d e n n",879
"l i c h",875
"n d e r",871
"_ d e _",854
"_ n e _",854
"_ h a n",853
"_ u f _",831
"m i c h",827
"_ m i c",824
"d i e _",820
"e r t _",802
"_ g a n",763
"r s c h",758
"_ n u r",746
"s i c h",741
"n s c h",739
"i h r _",720
"s c h i",720
"i n e _",706
"s c h o",700
"n u r _",696
"i c h t",694
"e m o l",674
"k u m m",673
"l i g _",670
"n g e _",667
"s i n _",662
"_ a l s",661
"e d e r",658
"_ s i c",650
"_ s i _",626
"h r e _",623
"_ v o r",619
"u m m e",618
"_ h a l",610
"a n d e",609
"_ v i e",607
"w i s s",602
"_ b i _",597
"_ e m o",597
"_ f r a",595
"n n e _",586
"s c h l",586
"h a l t",585
"_ g l i",584
"n n t _",584
"_ k u m",578
"e s c h",578
"c h o _",574
"_ h e t",572
"i s s e",570
"_ v o _",564
"s c h a",564
"_ m ü e",559
"g l i c",559
"_ k e n",558
"ü e t _",558
"v i e l",554
"k e n n",552
"g ü e t",548
"_ u n s",545
"_ g ü e",544
"e h t _",541
"_ m i n",538
"_ w o h",535
"_ b i s",534
"_ a n _",533
"_ d ’ _",533
"i e d e",530
"e t t _",527
"a g e _",524
"a l t _",524
"_ h e i",523
"_ k e i",520
"e s s e",519
"g a n z",516
"_ e b b",510
"_ m e _",510
"e l e _",503
"_ b i n",501
"s c h w",500
"_ a s _",494
"e l l e",493
"a l s _",490
"i h r e",486
"m e r _",483
"n e r _",479
"e s s _",478
"_ w i r",475
"b i n _",475
"_ z ü e",472
"g e h _",469
"s c h e",467
"v e r s",467
"e i s s",464
"_ k a _",462
"e s o _",462
"i e r e",461
"_ h à n",459
"_ n o _",459
"g e r _",459
"' s c h",457
"e r s c",457
"h e t t",457
"_ e s o",456
"e c h t",452
"_ h a b",449
"_ l i e",448
"e r s t",444
"_ d i s",442
"s e r _",441
"_ g s i",440
"a n z _",439
"a n g _",438
"_ a n d",437
"_ w a r",436
"s i n n",436
"_ n i m",432
"h n e _",428
"_ e i n",424
"_ g r a",423
"_ s a g",422
"i n d _",421
"l l e s",421
"m ü e s",421
"e i n _",420
"l e s _",418
"u n g _",417
"_ w e i",416
"w i e d",416
"h à n _",413
"_ g a r",412
"d i s s",412
"g ' s c",408
"h t e r",408
"e b b e",407
"e w e _",407
"h a b _",405
"_ m e i",403
"s s t _",403
"r a d _",402
"a n g e",398
"e i n e",396
"t s c h",395
"_ s o l",394
"_ d i r",391
"i n n _",390
"h e r _",389
"_ e m _",388
"_ s t e",387
"h t e _",384
"i e r t",384
"a l t e",383
"_ e s _",382
"n i m m",382
"o h r _",382
"_ a m _",381
"_ d à _",380
"s c h u",380
"_ w o r",379
"i m m e",379
"w e i s",379
"_ j a _",377
"_ k u _",377
"ü e s s",377
"_ w e l",376
"n k e _",376
"g r a d",374
"d i r _",373
"l a n g",373
"r o t h",369
"i e l _",368
"g s i _",366
"_ h i t",365
"r u m _",365
"s o l l",365
"_ g ' h",363
"i n e r",362
"_ m a n",361
"a s c h",360
"k e i _",360
"w i r d",360
"_ m e h",358
"o l l _",358
"m e i n",355
"_ n i e",353
"i c h e",353
"_ k u n",352
"i r d _",351
"v o r _",348
"g a r _",347
"_ g l a",345
"d e m _",344
"g s c h",342
"i e r _",342
"a c h _",341
"g e h t",341
"a n d _",339
"h i r o",338
"_ m e r",337
