0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
lein_,len_,lein,_lon_,laan,llen_,llein,_lon,lon_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_rvu,riww,hriww,riwwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'ne_,hnen_,_'ne,_noo,_na_,nee_,_’ne_,noh_,_nich,_nee,_’ne,nich,_n'_,nue_,_naa,’ne_,_'ne_,_nee_,nen_,,,,,,,,,,,,,,,,,,,,,
saat_,saat,’saat,'saat,_saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schee,cheh,schä,schu,chee,cheen,scheh,_schu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poot_,poot,beden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_au_,_aue_,een_,_aue,aaue,üej_,aaue_,aue_,_ier,_oui,öuj_,oui_,ieu_,eij_,,,,,,,,,,,,,,,,,,,,,,,,,,
_erum,erum,erum_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_,_han_,heen,_hen,henn,henn_,hehn,_henn,hun_,heen_,hen_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_der_,d'r_,_d’r_,dder_,d’r_,_d'r,dier,duri,dder,_d’r,traa,t'r_,_d'r_,,,,,,,,,,,,,,,,,,,,,,,,,,,
_hee,heen,_hen,_haa,_hier,heer,heen_,hen_,_hie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esch,ych_,aasch,ächs,esch_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wäje,_wäje,weje,wäje_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emme_,_emoo,omme_,_aim,umme,immi_,omme,uem_,emm_,emme,ommen,aam_,amme,emei,emoo,umme_,,,,,,,,,,,,,,,,,,,,,,,,
_guet,ghet_,geden,guet,_gede,gitt_,kter,ghet,_ghet,_got,gitt,_ged,_gitt,_gott,chde,guet_,gede,gott,,,,,,,,,,,,,,,,,,,,,,
