0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
rutzt,rtsst,ratzt,rzeht,rtsdä,ritzt,rtset,rütst,rzyt,rdtst,rzeit,rzytt,rdst_,rtst,rtsd,rzitt,rzit,rdst,rzejt,rizit,rzet,redst,retzt,rtsta,rotst,rtsda,rotzd,rzit_,rzett,,,,,,,,,,,
ichun,échon,ichn,echne,ichna,echun,ichnu,ishän,echnu,ichen,ichn_,ich’n,oshan,aschn,echn,echni,äichn,ischn,ichan,echün,äschn,eichn,ichni,echen,_ichn,eschn,ich'n,échan,ichne,ushän,,,,,,,,,,
rvun_,rewan,rwene,rwini,rawan,rwun,robin,r'vun,rwün,rvohn,ribun,_rvun,rweni,rwen_,rübin,rvunn,rwen,rwan,rivon,rwän,rwner,rveni,rwöhn,rvon,revan,rvun,rwohn,rwan_,reban,rwin,rvon_,raban,rwne,ribün,rvena,,,,,
agezö,ıgezö,agazi,eigez,ıgez,ageza,ajez,agaz,ajeza,ijets,igezö,agez,igezo,awaz,aagez,_awaz,üjets,igez,ajäz,ijeds,ähjts,ajätz,,,,,,,,,,,,,,,,,,
wehnl,wenal,winle,_wynl,wnli,winnl,wohnl,wynle,wöhnl,winl,winel,wänel,vanil,wenl,wynl,_winl,wenli,,,,,,,,,,,,,,,,,,,,,,,
tzbla,zebil,zebl,zipli,tzblä,tzbol,zappl,zipl,zebli,_zebl,tzbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
behe,_behe,behaü,behie,_behi,behi,peha,behoi,behüe,behü,_beha,beher,pehü,ppeha,behà,beho,beha,_beho,behaa,behau,_behü,,,,,,,,,,,,,,,,,,,
_kamr,ch-mr,_gmar,gmar_,gumer,chmär,kamr,g'mar,chmir,_gmer,ge-mr,gmür_,kamra,kmach,gmach,kümer,kemer,camar,kam’r,kamar,gmür,gemer,gmer,g'màr,g'mer,_gmor,gmar,kamer,gemar,chmar,kamrä,gmari,chmer,,,,,,,
_juwe,jvie,_jewi,_jaff,jeve,jeff,_jewe,janfa,jewi,_jef,jewa,jowo,_juw,j'av,_jew,j'ava,_jaf,jevöu,juwe,_jow,jefu,jewe,jevi,_jawo,jowoh,jevöj,jaff,_jefä,jevö,jawoh,_jaw,jewu,jevie,jevej,jawo,jeffe,jaffa,jefä,_j'av,_jowo
ühmsc,omesc,omisc,ammsc,amasc,imisc,umsk,ommsc,emask,_umsc,emisc,emmsc,àmsc,ämmsc,umskü,ömisc,ümsc,amsc,ehmsc,emesc,aümsc,umsec,amesc,immsc,aimsc,umesc,umasc,umz'g,emasc,imsc,emusc,ummsc,umsc,ämsc,eimsc,,,,,
ffspi,fsper,fspie,füüsb,vesp,fsbe,vespe,_vesp,ffsp,ffspe,fspe,fspi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erezw,erzwe,arzwe,arzwä,ärzw,erzwa,urzwi,erzwä,erzw,ordsw,urzw,arzwu,erzwy,erzwi,ertsw,erzwü,arzwa,ortsv,ärzwu,ärzwe,urtzw,arzw,,,,,,,,,,,,,,,,,,
heinl,hinl,henl,henlo,hinel,hinli,hähnl,hienl,hàhnl,hynnl,hüenl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pazze,_buzz,pazz,bizzi,pyzze,bzuzi,bzez,pizze,pizz,bezz_,bzuz,buzz,_bezz,pyzz,bezzy,bezz,bzeze,_bizz,bizze,bizz,buzze,,,,,,,,,,,,,,,,,,,
