0,1,2,3,4,5,6,7,8
noch,nooch,nere,nner,,,,,
emach,,,,,,,,
monsi,mons,,,,,,,
widde,witt,widd,,,,,,
nicht,,,,,,,,
lieb,laub,,,,,,,
wenn,,,,,,,,
steh,chter,chte,chti,schte,scht,,,
kann,könn,chne,chun,genu,gehn,könne,kein,chen
ischt,echt,escht,,,,,,
wurd,,,,,,,,
rich,rech,rsch,,,,,,
ille,elle,olle,alli,,,,,
hier,hoch,here,,,,,,
biss,bisse,,,,,,,
idde,ette,itte,edde,idder,itter,,,
könnt,kind,kinde,,,,,,
isse,uess,esse,osse,,,,,
lich,liche,,,,,,,
ller,lich,,,,,,,
sche,schie,cher,chen,schu,chie,schä,'sch,hsch
heit,hett,,,,,,,
iewer,iewe,ewer,,,,,,
frau,,,,,,,,
cher,,,,,,,,
abbe,,,,,,,,
eich,eche,ische,esch,achs,icher,iche,,
hter,dder,dere,dier,tier,tter,,,
mueß,mues,muess,,,,,,
ensch,,,,,,,,
saat,,,,,,,,
mann,meine,miner,mini,,,,,
nooc,,,,,,,,
schun,chne,schne,chun,schn,,,,
umme,omme,amme,,,,,,
idder,itter,,,,,,,
chlo,chla,chel,ckel,klich,glau,klei,,
ebbs,,,,,,,,
vers,,,,,,,,
tlich,,,,,,,,
erre,uech,oche,ieur,ooch,,,,
rscht,rsteh,richt,recht,,,,,
enke,inge,,,,,,,
teht,,,,,,,,
schr,,,,,,,,
klic,,,,,,,,
iewer,ewer,,,,,,,
enne,iner,eann,önne,anne,inne,eanne,,
inder,,,,,,,,
gsch,,,,,,,,
kter,chte,guet,gott,chti,,,,
hter,dder,dier,dien,tier,dich,tter,,
inder,önnt,,,,,,,
numme,numm,nemm,,,,,,
wäre,wwer,,,,,,,
ensc,,,,,,,,
sehn,,,,,,,,
