0,1,2,3,4,5
nach,,,,,
immer,,,,,
mens,,,,,
vate,vater,wiede,wied,,
nscht,,,,,
laüb,,,,,
wenig,weni,wann,,,
ster,,,,,
chin,kunn,känn,chön,kenn,
icht,,,,,
wart,wird,,,,
risch,,,,,
alle,,,,,
herr,hiro,,,,
bbes,,,,,
iede,oder,ater,ieder,eder,unte
kunnt,,,,,
eiss,üess,asse,,,
llich,,,,,
llich,,,,,
schö,schi,scho,scha,'sch,
hätt,hint,,,,
iwer,,,,,
fraü,,,,,
chri,,,,,
ebbe,,,,,
isch,eisch,asch,,,
doch,,,,,
mües,müess,,,,
unsch,,,,,
sàit,,,,,
mine,mein,,,,
nger,,,,,
schin,schön,chön,chin,,
immi,immer,imme,,,
ieder,oder,ater,eder,,
glaü,glich,,,,
ebbes,,,,,
verz,,,,,
tell,,,,,
iere,ihre,üech,ache,,
rste,,,,,
enig,unge,ange,,,
thàt,,,,,
chri,,,,,
glic,glick,,,,
iwer,,,,,
enig,eine,änne,ihne,,
ander,,,,,
g'sch,,,,,
geht,güet,,,,
thüe,,,,,
inde,ander,unte,ande,unnt,unde
nimmi,nimm,,,,
wohr,,,,,
unsc,,,,,
sinn,,,,,
