0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
urtg,artig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tehn,hten,diene,dein,dini,tine,tten,ttun,dien,donn,dinn,tion,dinni,dine,diner,denne,denn,tione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
werf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsieu,nsich,nser,nsie,nous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elle,oilà,elie,ülle,ilie,ielle,allen,eleh,ollen,alie,öjli,eile,allu,alli,olle,ejli,ilig,eller,uell,aille,üehl,ille,aller,elei,eilig,iller,illio,uehl,ähle,üell,aill,elen,ölle,eili,uelle,ellei,,,,,,,,,,,,,,,,,,
chnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heili,hell,heil,huel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awic,ewec,avec,eweck,ewac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icker,ogra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g'saa,g'si,c'es,g'säi,g'sä,g'si,küsie,gseh,gehs,gsich,g'sa,g'saa,küsi,cousi,c'es,chse,gess,gsaa,ches,cous,chos,g'sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llen,line,llion,lein,lion,hlen,llein,llun,lohn,lonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
champ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
änge,inger,angen,unke,ungen,ingen,ianc,enge,inge,inig,enke,ance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dokt,dokte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elen,ollen,allun,allen,elan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wund,wend,wendi,winde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsic,rasc,rrsc,resc,rösc,rosc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babb,papi,papie,papa,babe,babbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo,demoi,dumme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ijer,ejer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frau,fräu,verei,ffer,führ,frej,fach,früh,früe,fraue,fuhr,verru,verro,frai,fähr,verr,vere,fahre,früeh,füehr,vereh,frien,freu,fare,voir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zamm,zamme,zuem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wuru,wäre,verei,weri,wera,wurr,verru,verro,were,verr,vere,vereh,wahr,hwar,hwer,worre,wwer,worr,voir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hste,'säit,'ste,satt,sitt,side,'saat,'saat,saat,siden,sant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eund,ehnde,unda,ente,änder,endi,önnt,eind,ehnd,ände,inder,öennt,onder,önnte,iend,ändig,enda,ende,onde,andi,ient,ünde,ändi,aant,aint,anat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
