0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
ertig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htun,dene,toin,toine,taine,tien,dann,tain,tein,,,,,,,,,,,,,,,,,,,,,,,,,,
verf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niss,nüss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohler,ulie,ohle,allei,illi,alla,iell,elli,ahle,iele,ielli,alle,älle,elig,ehle,allo,,,,,,,,,,,,,,,,,,,
chinl,chnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aw-ic,eweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acker,ogar,ager,iger,eger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesse,geis,g'su,gass,gsai,g'se,cüsi,gasse,,,,,,,,,,,,,,,,,,,,,,,,,,,
lehn,leine,lene,llon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chamb,comp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sepp,suppe,supp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anke,unger,ihnac,angi,ieng,unge,ange,inke,enig,angie,,,,,,,,,,,,,,,,,,,,,,,,,
teckt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allon,elin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind,wand,hwind,wunde,wohnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrisc,risc,hrsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domi,htme,dame,htmei,tmei,dumm,timme,t-em,timm,,,,,,,,,,,,,,,,,,,,,,,,,,
ogar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fahr,frie,fiehr,füer,vori,froh,frei,vier,fere,,,,,,,,,,,,,,,,,,,,,,,,,,
zimme,zimm,züem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vori,woru,wach,wiere,wier,wore,wuch,ware,vorig,wuche,hwör,wohr,,,,,,,,,,,,,,,,,,,,,,,
'sto,'sta,site,sieht,'ste,sott,säit,sait,sotte,,,,,,,,,,,,,,,,,,,,,,,,,,
onet,inte,inde,ohnt,under,ander,ennt,ännt,eint,ande,anda,enti,anto,unde,ante,antoi,ehnt,annt,unnt,unte,,,,,,,,,,,,,,,
verd,furt,verdi,freid,fried,fahrt,vert,fred,fert,ferti,,,,,,,,,,,,,,,,,,,,,,,,,
rmer,hrem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloi,chle,glich,klig,ckli,chlä,cklig,chul,gläu,,,,,,,,,,,,,,,,,,,,,,,,,,
büec,pack,beka,bucke,buck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sitze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visi,fisse,fiss,fües,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fris,verz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ersta,erste,erst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eckel,ickl,ickli,uckel,ögli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ikan,igen,eigen,ekann,ekan,ikane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eimo,äime,ieme,imme,immi,umma,emma,amer,immig,immer,umen,ämme,,,,,,,,,,,,,,,,,,,,,,,
weisc,wisc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asson,esen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingt,ankt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trage,derg,trag,tark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chna,schna,chöne,chön,chine,schin,schön,chin,,,,,,,,,,,,,,,,,,,,,,,,,,,
hüse,hass,häis,heiss,heis,hües,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmer,mache,mair,mehr,mach,maire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umpf,ampf,umpfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inzig,uenz,einzi,inzi,einz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riff,reif,riwe,hriwe,roff,rief,hriw,rfah,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlig,dlig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fallt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hich,hien,höer,höen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post,beste,best,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osel,esel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tross,tris,ders,derz,tros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derzü,derz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erem,ihrem,orum,ermö,arme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perso,pres,pris,press,pers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
under,andr,inter,ander,unter,andre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chand,chint,kennt,kunnt,kant,gent,kannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chtl,stil,stol,still,stell,stel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wege,wage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssig,seig,soga,sage,sack,süec,sika,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dest,tscht,desto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erba,erbi,ochb,ochbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wacke,wack,wege,w-ic,wage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irsc,ohrsc,arsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebbe,uppe,ebber,ebbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rine,ranç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fisch,fech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunde,'sund,sund,send,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chmut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giere,koch,g'hir,chier,gier,g'hör,char,chri,kehr,kuch,,,,,,,,,,,,,,,,,,,,,,,,,
hriwe,riwe,hriw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sselb,selbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lige,llic,hlag,lüci,hlac,lick,lage,hlage,lege,hlec,llig,,,,,,,,,,,,,,,,,,,,,,,,
bekan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eger,iege,ager,awer,iger,egeh,eige,üege,,,,,,,,,,,,,,,,,,,,,,,,,,,
schic,chic,chick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wirs,hwarz,wohrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blüe,piel,piele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewann,ewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfahr,rfir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fieh,ffee,füer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
himm,heim,häim,himme,häime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ntoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eier,äich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaffe,chaff,kaff,chef,g'fa,g'fu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edul,idle,entl,adel,ittel,entli,ettl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rump,rumpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bart,piert,brüed,part,port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tscha,ttsch,tisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atter,üette,üeder,üett,inter,ieht,eite,äter,it-e,inte,itai,eiter,itta,üete,eint,üeter,enti,unte,üede,edig,ieder,anto,ater,eide,eder,iede,eter,ante,antoi,unter,oder,atte,otte,idee,iter
fege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etsc,itzk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'sch,scha,schö,schöe,chöe,schi,chöen,'schi,chier,schü,scho,-ich,'scha,,,,,,,,,,,,,,,,,,,,,,
oncl,oncle,ungli,ungl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gang,gieng,gange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chber,spie,chbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mone,mine,mein,mäin,mien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iege,ocke,eigen,igen,ückü,acker,acke,egeh,eige,üege,,,,,,,,,,,,,,,,,,,,,,,,,
rken,rkenn,rikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efan,enfin,ewann,ewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atter,üeder,äter,atir,eiter,üeter,atri,ieder,atro,ater,eder,eter,oder,iter,,,,,,,,,,,,,,,,,,,,,
nier,nuej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
will,viel,welle,viell,wohl,wele,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trof,druf,derfi,derf,därf,dervo,derv,derfe,,,,,,,,,,,,,,,,,,,,,,,,,,,
rthe,rothe,roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
