0,1,2,3,4,5,6,7,8
sehn,,,,,,,,
iner,enne,anne,önne,eann,inne,,,
here,hier,hoch,,,,,,
biss,bisse,,,,,,,
lich,ller,,,,,,,
numm,nemm,numme,,,,,,
hter,dere,dier,tter,tier,dder,,,
enke,inge,,,,,,,
mons,monsi,,,,,,,
schr,,,,,,,,
vers,,,,,,,,
inder,önnt,,,,,,,
nner,nooch,nere,noch,,,,,
echt,ischt,escht,,,,,,
ebbs,,,,,,,,
chne,schn,schne,chun,schun,,,,
ille,elle,alli,olle,,,,,
klic,,,,,,,,
nooc,,,,,,,,
tlich,,,,,,,,
cher,,,,,,,,
umme,omme,amme,,,,,,
gsch,,,,,,,,
inder,,,,,,,,
witt,widde,widd,,,,,,
ensch,,,,,,,,
'sch,schie,chen,chie,schä,sche,hsch,schu,cher
gott,chti,chte,guet,kter,,,,
könnt,kind,kinde,,,,,,
mues,mueß,muess,,,,,,
chne,genu,könne,kann,gehn,chen,könn,kein,chun
wurd,,,,,,,,
ewer,iewer,,,,,,,
rscht,richt,rsteh,recht,,,,,
idder,itte,itter,edde,ette,idde,,,
oche,ieur,uech,erre,ooch,,,,
esse,osse,uess,isse,,,,,
wwer,wäre,,,,,,,
hter,dier,dien,tter,tier,dich,dder,,
liche,lich,,,,,,,
idder,itter,,,,,,,
chla,ckel,chlo,klich,chel,glau,klei,,
iewe,ewer,iewer,,,,,,
ensc,,,,,,,,
wenn,,,,,,,,
rich,rsch,rech,,,,,,
abbe,,,,,,,,
meine,mann,mini,miner,,,,,
schte,scht,chti,chter,steh,chte,,,
emach,,,,,,,,
icher,eche,iche,achs,ische,esch,eich,,
nicht,,,,,,,,
