0,1,2,3,4,5
sinn,,,,,
eine,änne,ihne,enig,,
herr,hiro,,,,
bbes,,,,,
llich,,,,,
nimm,nimmi,,,,
doch,,,,,
unge,ange,enig,,,
mens,,,,,
chri,,,,,
verz,,,,,
unnt,ande,inde,ander,unde,unte
nach,,,,,
icht,,,,,
ebbes,,,,,
schin,schön,chin,chön,,
alle,,,,,
glic,glick,,,,
nger,,,,,
tell,,,,,
chri,,,,,
immi,imme,immer,,,
g'sch,,,,,
ander,,,,,
wied,vater,vate,wiede,,
unsch,,,,,
schi,schö,scha,scho,'sch,
güet,geht,,,,
kunnt,,,,,
müess,mües,,,,
chin,chön,kunn,kenn,känn,
wird,wart,,,,
iwer,,,,,
rste,,,,,
eder,oder,iede,ieder,ater,unte
üech,iere,ihre,ache,,
eiss,asse,üess,,,
wohr,,,,,
thüe,,,,,
llich,,,,,
eder,oder,ieder,ater,,
glich,,,,,
iwer,,,,,
unsc,,,,,
wann,weni,wenig,,,
risch,,,,,
ebbe,,,,,
mine,mein,,,,
ster,,,,,
immer,,,,,
asch,isch,eisch,,,
nscht,,,,,
