0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
sehne,sini,sehn,'sin,,,,,,,,,,,,
ddel,tlich,dlich,,,,,,,,,,,,,
ssel,söll,,,,,,,,,,,,,,
önnte,önnt,ändi,,,,,,,,,,,,,
eanne,aane,inne,üehn,enne,einen,önne,öenne,ihnen,yner,eann,inen,anne,eene,öenn,uehn
vadd,widd,widde,vadde,,,,,,,,,,,,
laan,llein,lein,,,,,,,,,,,,,
laab,laub,,,,,,,,,,,,,,
idel,aidel,,,,,,,,,,,,,,
nadi,nadie,nden,nten,nett,,,,,,,,,,,
aaue,,,,,,,,,,,,,,,
lauw,loofe,lewy,laufe,hloof,lauwe,lauf,lewie,loof,llewy,,,,,,
uess,aiss,,,,,,,,,,,,,,
gewö,gewah,gewi,,,,,,,,,,,,,
nere,nooch,,,,,,,,,,,,,,
mueh,,,,,,,,,,,,,,,
hkei,köen,chee,cheh,,,,,,,,,,,,
röuj,reij,riej,raue,raaue,röüj,raau,rhau,,,,,,,,
mini,myni,maan,männe,muehn,männ,müehn,myne,,,,,,,,
babbe,babb,papa,,,,,,,,,,,,,
hiero,heer,here,hyro,,,,,,,,,,,,
root,raid,redde,rden,roote,redd,,,,,,,,,,
chee,schä,schu,cheen,schee,scheh,cheh,,,,,,,,,
uewe,einf,awich,oofe,ewah,ewie,aufe,auwe,,,,,,,,
müeß,mueß,muess,mais,mues,,,,,,,,,,,
thät,dhäd,dhuet,dhädd,,,,,,,,,,,,
ghet,guet,chde,gede,gott,gitt,kter,geden,,,,,,,,
möjl,mlich,mülle,möjli,mool,,,,,,,,,,,
erum,,,,,,,,,,,,,,,
ewiel,ewyl,,,,,,,,,,,,,,
euch,aach,orre,ueche,yroo,ihri,arig,ooch,eren,uech,iero,,,,,
eijt,ytte,idde,eden,adde,oote,idder,adder,aide,edde,odder,odde,ueti,,,
ewwer,iwwe,awwer,über,uewe,üwer,aawe,aben,awwe,ewah,ewie,ewwe,uewer,auwe,,
wärd,wurd,,,,,,,,,,,,,,
nein,,,,,,,,,,,,,,,
hett,hädd,hytt,huet,,,,,,,,,,,,
hzitt,zytt,,,,,,,,,,,,,,
numme,nemm,nemme,numm,,,,,,,,,,,,
aasch,esch,ächs,,,,,,,,,,,,,
'saa,saaue,saau,'saa,,,,,,,,,,,,
lauw,lewy,lewie,lauwe,llewy,,,,,,,,,,,
beden,poot,,,,,,,,,,,,,,
emoo,ommen,emme,omme,umme,amme,emei,,,,,,,,,
krei,kriej,,,,,,,,,,,,,,
wahn,,,,,,,,,,,,,,,
leij,laau,laaue,hlaa,hlaau,lüej,löuj,hloo,,,,,,,,
merr,,,,,,,,,,,,,,,
awic,uffg,,,,,,,,,,,,,,
uewer,üwer,,,,,,,,,,,,,,
zeij,dies,diss,diese,dass,,,,,,,,,,,
gehn,köenn,chun,genn,kann,könn,könne,köen,genu,cheen,,,,,,
saat,'saat,'saat,,,,,,,,,,,,,
worre,wwer,wurr,wäre,worr,weru,,,,,,,,,,
wäje,weje,,,,,,,,,,,,,,
gsaa,gseh,g'sa,g'saa,g'saa,,,,,,,,,,,
biss,bisse,,,,,,,,,,,,,,
dder,traa,duri,dier,,,,,,,,,,,,
maid,maide,,,,,,,,,,,,,,
eije,ieje,öuje,ehje,öüje,aawe,,,,,,,,,,
elen,alli,ülle,ölle,ellei,üller,öjli,,,,,,,,,
gele,chlaa,chloo,gell,klich,glaa,klaa,glau,,,,,,,,
glüc,klic,glyc,glück,cklic,,,,,,,,,,,
ewiel,ewyl,,,,,,,,,,,,,,
wais,weiß,,,,,,,,,,,,,,
hriww,riww,riwwe,,,,,,,,,,,,,
vadd,vadde,,,,,,,,,,,,,,
dhue,dder,dier,dhüe,dieu,,,,,,,,,,,
rzue,,,,,,,,,,,,,,,
wölle,wöll,wiel,,,,,,,,,,,,,
ered,eredd,eert,aacht,erden,erot,oocht,ierot,,,,,,,,
fröuj,fröüj,frai,frau,fröü,fröu,,,,,,,,,,
erlau,ierli,erli,ierl,,,,,,,,,,,,
gemei,komm,kumme,geme,gema,komme,kumm,,,,,,,,,
schun,chun,,,,,,,,,,,,,,
