0,1,2,3,4,5,6,7,8,9
sinn,sàhn,'sun,,,,,,,
dlig,tlig,theil,,,,,,,
sàll,,,,,,,,,
unnt,ännt,,,,,,,,
änne,ann-,enig,,,,,,,
vate,wied,wiede,vater,,,,,,
lehn,,,,,,,,,
laüb,,,,,,,,,
entli,entl,,,,,,,,
nitt,,,,,,,,,
ieih,,,,,,,,,
llewi,laüwe,laüf,lewi,laüw,laüfe,liwe,,,
iesse,üess,ossig,üass,iess,eiss,,,,
g'wi,,,,,,,,,
nn-r,,,,,,,,,
'mei,mien,mmig,,,,,,,
chàh,g'hi,gien,g'ha,chaü,,,,,
raüe,'hir,'hör,'hiro,riei,rieih,,,,
mien,'mein,,,,,,,,
pape,,,,,,,,,
hiro,hüre,,,,,,,,
rüed,reid,rüede,rede,,,,,,
schà,schaü,'schà,chaü,scho,schàh,'schi,'scha,'sch,chàh
eifa,aüwe,aüfe,,,,,,,
mües,müess,müass,mies,miess,müas,,,,
thàte,thüet,thàt,,,,,,,
gent,güat,güete,güet,,,,,,
mlig,,,,,,,,,
orum,,,,,,,,,
ewil,,,,,,,,,
eüch,acha,iehr,ihre,üech,iehre,üeche,ihr',,
üeder,üeter,iede,ater,üede,üete,ieder,eder,iter,
iwer,aüwe,,,,,,,,
wird,warte,,,,,,,,
näin,,,,,,,,,
hint,hüet,hàte,,,,,,,
zite,,,,,,,,,
nàmme,nàmm,,,,,,,,
echa,,,,,,,,,
'sàh,seig,'sài,,,,,,,
llewi,laüwe,lawa,lewi,laüw,liwe,,,,
beide,beid,,,,,,,,
àmme,immig,ämme,eimo,,,,,,
g're,g'hir,kuch,g'ri,,,,,,
wenig,wànn,weni,wann,,,,,,
hlag,lüag,llich,,,,,,,
mehr,'mach,,,,,,,,
eweg,,,,,,,,,
iwer,,,,,,,,,
zeig,,,,,,,,,
kunn,känne,känn,g'nüe,gien,g'nü,chin,,,
'sto,sàit,site,'sàit,siter,,,,,
woru,,,,,,,,,
wege,wage,,,,,,,,
g'sài,gass,gasse,g'sà,g'sàh,,,,,
b'su,poss,possi,bbes,bbis,,,,,
thür,thüre,dure,traü,trag,,,,,
müet,müett,,,,,,,,
iege,üege,aüge,eige,eger,,,,,
iell,elli,allei,ielli,,,,,,
klig,glig,cklig,glaü,g'le,,,,,
klig,glig,cklig,glick,chlag,glic,,,,
ewil,,,,,,,,,
weiss,weis,'wis,'wiss,,,,,,
riwe,hriwe,,,,,,,,
vate,,,,,,,,,
thien,tien,thüe,thig,thie,,,,,
rzei,rzüe,rzeih,,,,,,,
viell,wohl,,,,,,,,
àchti,àcht,irot,,,,,,,
fiehr,füer,frei,friei,fraü,,,,,
erlaü,irli,irlig,,,,,,,
kämm,kämme,g'mei,g'me,g'ma,,,,,
schin,chin,,,,,,,,
