mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,,"—; :; ;; -; –; ”; =; ""; ―; ça; .; 000; ‚; &; *; }; ?; ); 10; 'e; 45; 500; „; 128.697; 24; ]; 19; 31.; 38; 53; 2000; -yo; ….; ......; ‘au; ’e; {; $o; 1.80; 125; 14.; 143er; 16.; 17.; 1872; 1897; 1918; 1920; 20-30; 200000; 258; 25e; 30000; 397; 4-5; 400; 42; 43; 44; 46; 47; 51; 52; 58; 6000; 65; 6e; 71; 8-1-a; 85; 90; 999; đe; h; hh; _; °; 11; 3/4",…; »; «; ...; çà; 5; 30; “; 2; 4.; !; 4; 3; ’; 1.; 200; 3.; 8.; 8; 13.; 6; 50.; 1; |; 2.; 1000; 340; 25; '; 70; /; 80; 9; 60; 1868; §; \; 13; 1914; 24.; 240; 37; 39; 60.; 75; 5000; 40; 0; 20; 120; ..; `; (; 100; ....; 450; :|; 28.; 800; 99er; -oh; :1; ·; '5; 'ha; 'i; ‚o; +; 10.; 100.; 1279; 15-20; 15.; 16; 1913; 1à; 20000; 230; 27; 273; 30.; 31; 34'; 35; 36; 364; 3e; 425; 5.; 59; 600; 629; 7.; 715; 73; 77; 88; 89; 89.; 900; 95; 99; 50; 14; [; 49; h.; 12; 17; 150; 48; 6.; 64; 66; 82; 9.; 7; 15
Craig,RXTN,richten; rechten,richte-n; rüsten
Craig,KLN,klein; kleini; klaani; klaaner; klaine; klaini; klaane; klän; klaan; kleinen; kellner; kläne; gelonn; galan; gellen; gelohn; gelon; klain; klane; kläner; klauen; kleenen; kohlen,kleine; kläiner; kleiner; kläin; kläini; kleina; kläine
Craig,P,by; bie; bue; bei; bier; ben; büe; per; be; ba; püh; ber; po; peu; poh; b.; bäh; bauer; beau; baoue; beer; bauen; bee; bey; böuj; boy; bu; bü; bueä; payer; pen; poy; pah; puh,bi; bien; bàh; bah; b; p.; bä; baüe; bi'; bich; p; p-i; pe; pee; poo; pp; bej; bo
Craig,VRXTNT,verständig; vorstand; verschtande; verständi; v'rstandi; v'rständig; v'rstöönd; verstanden,verstand; verstande; verstanda; verstandi
Craig,SLTT,soldate; saldote; saldade; solltet,soldata; soldat; soldaten
Craig,V,wie; wäj; wo; waj; wayer; veeh; wen; wü; wee; vier; weich; wien; weh; vie; waue; waich; waier; va; vo’; vue; waaue; wej; v; viej; waaj; weye; 'wie; ’v; veer; vi.; viii; w; wä’; waau; wäej; wæj; waer; waij; wäy; weij; wie-e; wier; wöüj; wich; woh,vo; wu; we; wà; wia; vu; wer; wag; wi; ver; veh; wih; wa; weih; wö; wue; ve; 'wo; wàie; waye; wei; wöööah; wüj; vieh; v.
Craig,AYT,agent; agaçant; awet,ageht; eigentiig
Craig,TRML,dirmel; diermlich; dirmlich; dreijmol; dreymol; dürmel; dürmli; tremmel,drejmol; dreimol; dirmlig; drummel; durmelich; tirmel; trummle; dreimal
Craig,XNL,schnell; schneller; schnuller; schannel; schnalle; schnalli; schnelle; schnelli,schnall; schnaller; schinheilig
Craig,FRFR,vorfiehre; verfahre; verfuehre; verifer; veryffer; vorführe,verfiehre; voriwer; vorfahra; verfüehre; veriwer; vierfach
Craig,XF,schaff; schiff; schaf; schoof; chauf; schaffer; schowe,chef; schiewe; schaffa; schaffig; schiew; schaffe; schof; schief
Craig,SYL,sawel; siegel,sagal; sàwel; segel
Craig,FR,for; frau; fur; fer; fröuj; für; fröüj; fraue; fahre; fyr; fräuj; faire; frej; fra; fröij; vrai; füehr; freau; frey; füehre; vier; früej; füere; voir; fraij; freij; führe; fyer; v'r; fraie; fraj; fuehr; frauen; frai; führ; verra; vori; ferie; fohre; freaue; freue; frœj; führen; fürr; fyre; freuen; viere; führy; f'r; führer; v‘r; fair; fera; ferri; feur; fieri; fierig; fihre; for-e; fräie; freu; freye; freyer; friej; froej; froie; fröiij; früeh; früeij; früij; furich; fyri; fyrio; vär; veer; verre; very; vur; fahren; feuer; früh; fahr,fir; fraü; füer; vor; ferig; fire; frei; fiehre; fraui; fräu; frieih; firig; vora; fier; freie; ver; fiehrer; fräui; froh; fuer; firio; fiahre; fach; fröj; fräü; fraüe; freia; freii; frieh; viar; fiehr; froi; fr.; vieri; färig; phare; vache; fächer; fahra; fahrer; ferich; ferr; fiehra; fiera; fierich; foire; fräj; fràü; freier; fri; froia; var; vore; fiere; fruej
Craig,PLTY,beleidige; bluetige,beleidiga; blüetiga; blüetigi
Craig,VTL,waddel; wädele; veut-il; wäddel; wädle; waidli; weddele,wàdele; wadel; wäddele
Craig,AKLT,ekelt; eklat; ieigelt; ooghalte; egalité,ig'lade; aghalte; iglada; égalité; éclat; ig'holt; iglade
Craig,LRT,lacht; laacht; laachter; laauert; leert; leucht,lehrt; lärt; leuchten; liacht
Craig,SH,sehen; sehe; sähe; shah; sheen,seho; soho
Craig,XM,schämme; chameau; schämm; schamme; schimmy; schäme; schümm; cham; schamä; schämen; schamm; schemme; schimm; schma; schmeer; schüüme; schäm,scham; schimmer; schame; schàmme; schmier; schüm
Craig,HLP,halben; höllebue; helaba,halb; halbe
Craig,TPF,dupfe; dapfer; dopf; dupf,tupfe; tapfer
Craig,RX,rych; reich; riech; reche; rieche; reiche; raasch; rychi; räich; räichs; rash; rech; rechen; reicher; reichs; reisch; riecher; ryche; rycher; rysch’,rich; riche; richer; richi; rüsche; rauich; rausch; reicha; reuisch; risch; rsch; rueich; rüsch; rasch
Craig,TSNK,zung; zing; zanke; zinkier,zunge; zang; zungen
Craig,TTL,titel; dittlich; dytli; tantel; dattle; dantel; deutlich; tant’l; total; daadäejli; daadäjli; dantele; dattel; daudel; detail; dottel; düddele; duttle; tadel; tadle; täntele; tötlich; dittli,düdel; ditlig; doddel; ditli
Craig,KLTY,goldiger; goldigi; goldige,guldige; goldiga
Craig,NXXT,nächschte; nächscht; nachschde; nächschde; nächschter; noochsicht; nachschte,nechscht; nachscht
Craig,HST,heißt; haißt; haisst; hüssdier; häißt; hüsstier; heesst; heesste; hesst; hießt,heisst; häisst; hasst; heisst’
Craig,ANVRXMT,unverschämte; unverschämt; unv'rschamter; unverschämter,unverschàmter; unverschàmte
Craig,LNTR,länder; landru; leander; leender; lindre; linduech; lintuech,lànder; lindere; linnduech
Craig,PSR,bsuech; bassiere; böser; bessere; besser; besuch; beeser; passire; besseri; 'besser; b'süch; baiser; basiere; bassire; besuche; bösere; bsueche,posiere; besserer; b'süech; böeser; passiere; bsüech; bessre; b'suech; b’süech; besuchen; bsüch; büeser; bis’r; passieren; besüech; bsorri
Craig,FRNR,ferner; fernere,verunehre; vorneri; vornher; vernarre
Craig,KTR,gueter; contre; guter; gedüech; geht’r; getraaue; götter; chter; cuterie; gädder; gadier; gedraue; getraa; geträue; getrei; gitt'r; guater; gueder; guitarre; kidder; kittere; güter,güeter; katri; cidre; getreü; cadre; chatri; geht-r; getraue; getreüer; güater
Craig,PXR,buschur; bisher; bicher; bscheer; bschorr; buschuhr; buschur‚; pschorr,biecher; bschare
Craig,PRVT,bravheit; paravent,brevet; proviant
Craig,ANTRN,andern; anderen-au; andren; entrain; ändern,unternàh; anderen
Craig,KXT,c’est; gescht; c'est; gscheid; koscht; gschieht; gscheider; koschte; g'schieder; g'schied; gest; gscheidi; g'schiede; gescheid; gschiedt; gschteh; käschte; kischte; gascht; gäst; kaschte; gaischt; gichder; cest; g'hüst; g'scheit; g'scheiti; g'schejt; g'schiht; g’huescht; g’hüst; g’scheite; g’scheiter; g’schejt; gaescht; gaist; geistig; gescheiter; geste; gist; gscheide; gscheidt; gscheijt; gschejti; gscheut; gschiede; gschieder; gschiedter; gschont; gschyder; gychter; gscheit; kost; kosten,geist; geischt; geischter; kaste; g'schieht; koste; gsteh; g'scheidt; kiste; g'scheidter; geister; gscheiter; geschter; gscheite; kischt; c'est-ça; gschoit; c’est-ça; g'scheid; g'scheide; g'scheidte; g’schieht; gast; gecht; geiste; ghüst; giicht; güscht; kaschta; kàste; kost'; gäscht; gschejt; gschied
